"RowIDFile","Dataset_name","Program","DatasetID","SampleDesign","SampMethod","MethodCode","Method_area","Region","Island","Moku","Site","Latitude","Longitude","coord.join10","Survey_date","Year","Month","Day","Reef_Habitat","Habitat_Category","SurveyDomain","Management","Rugosity","Depth","SurveyID","RepID","TransID","Replicate","Diver","SpeciesCode","Taxon","Number","Size_cm","num_line_m2","bio_line_gm2","Count_max_from_CRED","MaxSize_touse","a.final","b.final","use4biomass","QC"
163416,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","ABSO","Abudefduf sordidus",1,14,0.008,2.48536523203525,300,24,0.173502382,2.838247289,1,"JS_2025"
163417,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","ABSO","Abudefduf sordidus",1,15,0.008,3.02296595538273,300,24,0.173502382,2.838247289,1,"JS_2025"
163418,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","ACDU","Acanthurus dussumieri",2,24,0.016,10.973737872737,20,54,0.656330038,2.187427712,1,"JS_2025"
163419,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","ACNR","Acanthurus nigroris",2,14,0.016,0.903490315749144,20,25,0.02363453,2.947538533,1,"JS_2025"
163420,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","ACNR","Acanthurus nigroris",4,16,0.032,2.67847129130623,20,25,0.02363453,2.947538533,1,"JS_2025"
163421,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","CHRE","Chaetodon reticulatus",2,15,0.016,1.23444,10,18,0.02286,3,1,"JS_2025"
163422,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.27026326,-157.6969575,28252,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.3048,"HBAY_2025_22","HBAY_2025_22","HBAY_2025_22","HBAY_2025_22_JS","JS","SCRU","Scarus rubroviolaceus",1,35,0.008,5.08064917545235,30,70,0.0124,3.05,1,"JS_2025"
163423,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.26925853,-157.6966791,28253,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.9144,"HBAY_2025_7","HBAY_2025_7","HBAY_2025_7","HBAY_2025_7_JS","JS","CHRE","Chaetodon reticulatus",2,15,0.016,1.23444,10,18,0.02286,3,1,"JS_2025"
163424,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.26925853,-157.6966791,28253,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.9144,"HBAY_2025_7","HBAY_2025_7","HBAY_2025_7","HBAY_2025_7_JS","JS","MUFL","Mulloidichthys flavolineatus",1,19,0.008,0.553893770740355,50,43,0.006557807,3.146484092,1,"JS_2025"
163425,"DAR","Oahu","Maunalua_Bay","Random_Stratified","Belt_25x5","FAHU",125,"MHI","Oahu","KOOLAUPOKO","HBAY",21.26925853,-157.6966791,28253,"2025-04-28",2025,4,28,"Hard_Bottom","Rock_Rubble",NA,NA,"R1 = 0m-0.5m",0.9144,"HBAY_2025_7","HBAY_2025_7","HBAY_2025_7","HBAY_2025_7_JS","JS","RHRE","Rhinecanthus rectangulus",1,12,0.008,0.2893496816265,25,30,0.0237,2.95,1,"JS_2025"
